Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
27,3.9,"[0.0, 0.0, 16.9, 1.5, 39.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 10.9, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 6.2, 1.5, 0.0, 0.0, 0.0, 70.8, 0.0, 3.1, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1]",45.8,29847.88281,34,90.08955956,7380.136719,0.326663184,1
28,4.9,"[0.0, 0.0, 16.9, 0.0, 30.8, 0.0, 4.6, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 3.1, 1.5, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 4.6, 1.5, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 4.6, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 3.1]",45.8,29849.4375,33,90.08955956,7380.136719,0.326712802,1
29,3.8,"[1.5, 0.0, 23.1, 4.6, 38.5, 0.0, 10.8, 0.0, 9.4, 0.0, 27.7, 0.0, 12.3, 0.0, 10.8, 32.3, 6.2, 0.0, 16.9, 0.0, 4.6, 0.0, 0.0, 27.3, 7.7, 0.0, 10.9, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 4.6, 10.8, 73.8, 0.0, 0.0, 4.6, 7.7, 4.6, 0.0, 0.0, 0.0, 3.1]",45.8,29846.64063,36,90.08955956,7380.136719,0.327280615,1
30,3.6,"[1.6, 0.0, 9.2, 0.0, 45.3, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 10.9, 0.0, 7.8, 6.2, 6.2, 3.1, 0.0, 0.0, 0.0, 73.8, 0.0, 12.5, 14.1, 4.7, 0.0, 4.7, 6.2, 16.9, 1.5]",45.8,29848.03516,37,90.08955956,7380.136719,0.326862206,1
31,5,"[0.0, 0.0, 17.2, 0.0, 39.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 15.6, 0.0, 75.4, 0.0, 15.9, 4.7, 0.0, 4.8, 0.0, 0.0, 0.0, 0.0]",45.8,29848.09766,37,90.08955956,7380.136719,0.325414555,1
32,4.3,"[0.0, 0.0, 7.7, 0.0, 33.3, 0.0, 6.2, 0.0, 29.2, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 24.6, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 10.8, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 65.6, 0.0, 4.6, 0.0, 1.5, 0.0, 4.6, 0.0, 0.0, 0.0]",45.8,29849.76172,37,90.08955956,7380.136719,0.326777227,1
33,6.6,"[0.0, 0.0, 7.7, 16.7, 24.2, 3.1, 3.1, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 7.7, 0.0, 1.5, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.8, 0.0, 0.0, 10.8, 6.2, 0.0, 0.0, 0.0, 0.0, 3.1]",45.8,29851.75,39,90.08955956,7380.136719,0.325171555,1
34,2.9,"[0.0, 0.0, 7.7, 0.0, 36.9, 0.0, 6.2, 0.0, 3.1, 10.8, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 6.2, 1.5, 0.0, 0.0, 13.8, 0.0, 4.8, 0.0, 4.6, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 28.1, 0.0, 27.7, 0.0, 0.0, 0.0, 0.0, 3.1]",45.8,29851.98438,38,90.08955956,7380.136719,0.326945369,1
35,3.9,"[0.0, 0.0, 15.6, 0.0, 33.8, 3.1, 3.1, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 10.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 10.9, 0.0, 20.0, 15.6, 0.0, 4.7, 0.0, 3.1]",45.8,29851.40625,37,90.08955956,7380.136719,0.32522579,1
36,5.7,"[4.7, 0.0, 29.2, 0.0, 35.9, 0.0, 34.4, 0.0, 3.1, 0.0, 0.0, 0.0, 4.7, 0.0, 26.6, 0.0, 10.8, 0.0, 31.2, 0.0, 0.0, 0.0, 0.0, 14.1, 4.7, 0.0, 4.8, 0.0, 0.0, 6.2, 7.9, 0.0, 0.0, 0.0, 4.8, 0.0, 0.0, 0.0, 72.3, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 6.3, 6.2, 3.1]",45.8,29857.23438,40,90.08955956,7380.136719,0.325179497,1
