Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
22,6.5,"[7.8, 0.0, 10.9, 0.0, 26.6, 4.7, 3.1, 0.0, 13.8, 0.0, 0.0, 0.0, 10.9, 0.0, 12.5, 6.2, 3.1, 0.0, 0.0, 0.0, 4.6, 1.6, 14.1, 0.0, 9.4, 17.2, 7.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.9, 0.0, 9.2, 12.5, 12.5, 14.1, 1.6, 0.0, 0.0, 35.9]",48.5,31583.39453,39,86.7975235,7110.453125,0.326559569,1
23,4.5,"[6.2, 0.0, 9.4, 4.7, 26.2, 3.2, 6.2, 0.0, 1.6, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 15.6, 0.0, 0.0, 0.0, 33.8, 0.0, 1.6, 20.3, 3.1, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.2, 0.0, 1.6, 0.0, 4.8, 0.0, 0.0, 0.0, 0.0, 24.6]",48.5,31580.16797,40,86.7975235,7110.453125,0.326972768,1
24,5.8,"[15.4, 0.0, 12.3, 0.0, 33.8, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 23.1, 0.0, 1.5, 0.0, 6.2, 3.1, 1.5, 0.0, 0.0, 1.5, 24.2, 15.4, 3.1, 21.5, 9.2, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 81.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.8]",48.5,31586.03125,37,86.7975235,7110.453125,0.326907528,1
25,7,"[16.9, 1.5, 24.6, 20.0, 30.8, 16.9, 1.5, 13.8, 3.1, 0.0, 0.0, 0.0, 6.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 60.6, 0.0, 1.5, 4.7, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 66.2, 0.0, 0.0, 4.6, 4.6, 3.1, 0.0, 0.0, 0.0, 27.3]",48.5,31590.96484,35,86.7975235,7110.453125,0.326927072,1
26,5.3,"[1.6, 0.0, 1.5, 0.0, 25.0, 0.0, 0.0, 0.0, 9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 56.2, 0.0, 4.7, 9.4, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 4.7, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7, 23.4]",48.5,31579.13281,38,86.7975235,7110.453125,0.326887171,1
27,5.3,"[18.8, 4.7, 10.9, 0.0, 40.6, 1.6, 9.4, 7.8, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 0.0, 1.6, 1.6, 1.6, 1.6, 3.1, 0.0, 0.0, 14.1, 48.4, 1.6, 10.9, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 64.6, 1.6, 6.2, 0.0, 4.7, 1.6, 0.0, 1.6, 6.3, 24.6]",48.5,31591.58203,39,86.7975235,7110.453125,0.327001013,1
28,7.4,"[4.7, 0.0, 29.7, 6.1, 52.3, 3.1, 29.7, 6.2, 0.0, 0.0, 3.1, 0.0, 15.6, 6.2, 1.6, 28.1, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 43.8, 26.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.2]",48.5,31590.66406,40,86.7975235,7110.453125,0.324886912,1
29,4.9,"[9.4, 0.0, 17.2, 0.0, 25.8, 14.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 25.4, 0.0, 1.6, 0.0, 15.6, 1.6, 0.0, 0.0, 24.6, 0.0, 0.0, 4.7, 10.9, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 6.2, 1.6, 0.0, 0.0, 70.8, 0.0, 6.2, 1.6, 4.7, 1.6, 3.1, 0.0, 0.0, 32.3]",48.5,31595.25391,40,86.7975235,7110.453125,0.326362211,1
30,5.2,"[12.3, 0.0, 10.9, 0.0, 32.3, 15.4, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 6.2, 4.6, 7.7, 0.0, 28.1, 6.2, 3.1, 7.8, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 70.8, 0.0, 4.6, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 30.8]",48.5,31589.48438,40,86.7975235,7110.453125,0.326696516,1
31,5.8,"[3.1, 0.0, 13.8, 0.0, 64.6, 3.1, 3.1, 0.0, 23.1, 0.0, 0.0, 0.0, 3.1, 0.0, 16.7, 32.3, 4.6, 1.5, 3.1, 0.0, 0.0, 0.0, 49.2, 1.5, 12.3, 23.1, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 53.8]",48.5,31595.49219,0,86.7975235,7110.453125,0.327020441,1
