Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
22,5.3,"[0.0, 0.0, 6.2, 0.0, 32.3, 0.0, 4.6, 16.9, 27.7, 0.0, 1.5, 0.0, 4.6, 0.0, 26.2, 0.0, 1.5, 0.0, 4.6, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 1.5, 1.6, 0.0, 0.0, 74.2, 1.6, 0.0, 1.5, 10.8, 3.1, 0.0, 0.0, 1.5, 1.5]",47,30618.91016,36,85.56008339,7009.082031,0.326741741,1
23,3.8,"[0.0, 0.0, 25.8, 0.0, 23.1, 0.0, 4.6, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",47,30623.46875,38,85.37392616,6993.832031,0.326983704,1
24,3.6,"[0.0, 0.0, 17.2, 3.1, 29.7, 1.6, 10.9, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 15.6, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.6, 0.0, 0.0, 4.7, 12.5, 4.7, 6.2, 0.0, 0.0, 1.6]",47,30620.07422,41,85.0458622,6966.957031,0.326951588,1
25,4.1,"[12.3, 0.0, 24.6, 0.0, 39.1, 0.0, 15.4, 0.0, 15.4, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 24.6, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 23.1, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 69.2, 0.0, 18.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30627.14063,31,85.22210121,6981.394531,0.325201658,1
26,2.9,"[0.0, 1.5, 12.5, 0.0, 33.3, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 4.6, 0.0, 0.0, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 12.3, 4.7, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 0.0, 0.0, 1.6, 1.5, 0.0, 0.0, 1.5]",47,30610.80469,30,85.22210121,6981.394531,0.325210685,1
27,3.2,"[0.0, 0.0, 12.5, 0.0, 40.6, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 4.7, 0.0, 9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 75.4, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30609.62109,38,85.22210121,6981.394531,0.327296424,1
28,4.1,"[10.9, 0.0, 20.0, 0.0, 35.4, 0.0, 4.7, 17.2, 25.0, 0.0, 7.9, 0.0, 0.0, 0.0, 0.0, 25.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 3.1, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0]",47,30606.11328,37,85.22210121,6981.394531,0.327070193,1
29,4.2,"[0.0, 0.0, 18.2, 0.0, 27.7, 0.0, 6.2, 1.5, 0.0, 0.0, 0.0, 0.0, 26.2, 0.0, 4.6, 0.0, 0.0, 0.0, 4.5, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.7, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",47,30604.6875,33,85.22210121,6981.394531,0.326552196,1
30,2.9,"[0.0, 0.0, 9.2, 0.0, 46.2, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 73.4, 0.0, 6.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30603.8125,33,85.22210121,6981.394531,0.327008763,1
31,3,"[1.6, 0.0, 35.9, 0.0, 30.8, 14.1, 4.7, 14.1, 6.2, 1.6, 0.0, 0.0, 0.0, 0.0, 6.2, 26.6, 1.6, 1.6, 3.1, 0.0, 1.6, 0.0, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 0.0, 0.0, 9.4, 1.6, 0.0, 0.0, 0.0, 0.0]",47,30603.32031,34,85.22210121,6981.394531,0.327121721,1
