Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
22,4.1,"[1.5, 0.0, 6.2, 3.1, 29.7, 4.7, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 15.6, 1.6, 4.7, 0.0, 1.6, 0.0, 54.7, 0.0, 0.0, 0.0, 1.6, 4.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 4.7, 0.0, 1.6, 9.4, 4.6, 4.7, 3.1, 1.6]",48.7,31702.92578,33,86.84997559,7114.75,0.326711148,1
23,6.2,"[9.2, 0.0, 1.5, 0.0, 40.0, 0.0, 3.1, 7.8, 1.5, 0.0, 56.2, 0.0, 15.4, 0.0, 0.0, 27.7, 6.2, 0.0, 4.5, 0.0, 1.5, 9.2, 46.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 65.6, 0.0, 0.0, 0.0, 0.0, 14.1, 0.0, 0.0, 0.0, 1.6]",48.7,31705.56641,33,86.84997559,7114.75,0.324714042,1
24,6.1,"[4.7, 0.0, 7.8, 0.0, 39.1, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 6.2, 4.7, 0.0, 0.0, 0.0, 7.7, 0.0, 0.0, 0.0, 42.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 72.3, 6.1, 9.4, 12.3, 3.1, 17.2, 1.6, 0.0, 0.0, 0.0]",48.7,31716.23438,34,86.84997559,7114.75,0.325039637,1
25,5.4,"[1.6, 0.0, 10.8, 0.0, 37.5, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 46.9, 0.0, 9.4, 0.0, 10.9, 0.0, 1.6, 0.0, 0.0, 0.0, 9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 0.0, 0.0, 0.0, 6.2, 7.8, 0.0, 0.0, 1.6]",48.7,31718.11719,36,86.84997559,7114.75,0.326478915,1
26,6.2,"[7.8, 0.0, 9.4, 0.0, 60.9, 0.0, 3.1, 29.7, 25.0, 1.6, 3.1, 0.0, 1.6, 0.0, 0.0, 26.6, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 28.1, 1.6, 9.4, 0.0, 1.6, 4.7, 0.0, 0.0, 1.6, 1.6, 1.5, 0.0, 4.7, 1.5, 0.0, 9.4, 59.4, 4.7, 4.7, 6.2, 4.7, 20.3, 0.0, 0.0, 6.2, 3.1]",48.7,31717.50781,31,86.84997559,7114.75,0.325056565,1
27,4.9,"[0.0, 0.0, 15.4, 0.0, 30.8, 16.9, 9.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 9.2, 1.5, 33.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.3, 1.5, 4.6, 7.7, 0.0, 3.1, 4.6, 0.0, 0.0, 57.8, 0.0, 1.6, 0.0, 9.2, 24.6, 4.6, 0.0, 9.2, 0.0]",48.7,31718.62891,41,86.84997559,7114.75,0.326991326,1
28,6.1,"[9.2, 0.0, 17.2, 0.0, 32.3, 1.5, 4.6, 1.5, 0.0, 0.0, 0.0, 1.5, 1.5, 1.5, 0.0, 0.0, 1.5, 0.0, 1.5, 1.5, 1.5, 0.0, 31.2, 1.5, 1.5, 1.5, 1.5, 3.0, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.0, 1.5, 1.5, 1.5, 76.9, 1.5, 10.8, 3.1, 7.7, 9.2, 1.5, 7.7, 1.5, 0.0]",48.7,31721.77344,41,86.84997559,7114.75,0.326696567,1
29,5.2,"[7.7, 0.0, 9.2, 0.0, 36.9, 0.0, 30.8, 0.0, 26.2, 0.0, 1.5, 1.5, 0.0, 0.0, 4.6, 0.0, 1.5, 0.0, 0.0, 4.7, 30.8, 0.0, 29.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.4, 0.0, 7.7, 9.2, 4.6, 21.2, 4.6, 1.5, 0.0, 0.0]",48.7,31720.09375,33,86.84997559,7114.75,0.326634591,1
30,7.3,"[1.5, 0.0, 10.8, 1.5, 43.1, 1.5, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 9.2, 0.0, 13.8, 6.2, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 72.7, 0.0, 0.0, 3.1, 7.7, 6.2, 0.0, 0.0, 0.0, 1.5]",48.7,31718.97266,31,86.84997559,7114.75,0.324922726,1
31,4.7,"[1.5, 0.0, 13.8, 0.0, 67.7, 1.5, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 16.9, 1.5, 0.0, 0.0, 18.2, 0.0, 3.1, 0.0, 12.5, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 0.0, 1.5, 4.6, 6.2, 7.7, 4.5, 0.0, 1.5]",48.7,31722.65625,32,86.84997559,7114.75,0.326973711,1
32,4,"[1.6, 0.0, 6.2, 1.6, 35.9, 0.0, 7.8, 0.0, 3.1, 0.0, 0.0, 0.0, 21.9, 0.0, 1.6, 12.5, 0.0, 0.0, 1.6, 0.0, 4.7, 0.0, 35.9, 0.0, 7.8, 12.5, 9.4, 7.8, 0.0, 0.0, 0.0, 1.6, 0.0, 4.7, 0.0, 7.8, 0.0, 0.0, 73.0, 0.0, 0.0, 6.2, 14.1, 21.9, 0.0, 6.2, 0.0, 1.6]",48.7,31729.39844,31,86.84997559,7114.75,0.326998795,1
33,7,"[12.3, 0.0, 16.9, 0.0, 40.0, 1.5, 3.1, 20.0, 27.7, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 32.8, 9.1, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 1.5, 0.0, 0.0, 3.1, 1.5, 0.0, 0.0, 0.0, 67.2, 0.0, 7.7, 1.5, 7.7, 13.8, 0.0, 0.0, 0.0, 1.5]",48.7,31723.96875,36,86.84997559,7114.75,0.327107893,1
34,5.6,"[1.5, 0.0, 10.8, 0.0, 29.2, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 13.8, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 4.7, 4.6, 0.0, 60.0, 0.0, 4.6, 4.6, 12.3, 35.4, 1.5, 0.0, 0.0, 0.0]",48.7,31725.71484,41,86.84997559,7114.75,0.326788633,1
35,4.2,"[1.5, 0.0, 7.7, 1.5, 33.8, 0.0, 7.7, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 31.2, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 0.0, 6.2, 26.2, 0.0, 0.0, 0.0, 0.0]",48.7,31724.79297,38,86.84997559,7114.75,0.325244352,1
36,6.8,"[1.6, 1.6, 12.5, 0.0, 41.5, 0.0, 3.1, 29.7, 4.7, 7.8, 14.1, 0.0, 0.0, 0.0, 1.6, 1.6, 0.0, 0.0, 38.5, 0.0, 0.0, 6.2, 40.6, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1, 0.0, 15.6, 0.0, 7.8, 6.2, 0.0, 0.0, 0.0, 1.6]",48.7,31725.30078,33,86.84997559,7114.75,0.325206197,1
37,4.9,"[16.9, 0.0, 29.2, 0.0, 34.4, 3.1, 6.2, 0.0, 4.6, 0.0, 0.0, 0.0, 6.2, 0.0, 20.3, 3.1, 0.0, 1.6, 3.1, 4.7, 0.0, 0.0, 42.2, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 3.1, 0.0, 0.0, 62.5, 0.0, 4.7, 3.1, 4.7, 3.1, 1.6, 0.0, 0.0, 3.1]",48.7,31724.24219,37,86.84997559,7114.75,0.325011755,1
38,4.8,"[1.5, 0.0, 10.9, 0.0, 38.5, 1.5, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 56.2, 0.0, 0.0, 0.0, 10.8, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 6.2, 6.2, 0.0, 0.0, 72.7, 0.0, 0.0, 0.0, 0.0, 10.8, 10.8, 0.0, 0.0, 3.1]",48.7,31729.89063,39,86.84997559,7114.75,0.325199137,1
39,6.5,"[6.2, 0.0, 4.6, 0.0, 46.2, 0.0, 6.2, 0.0, 34.4, 0.0, 0.0, 0.0, 3.1, 0.0, 9.2, 29.2, 1.5, 0.0, 3.0, 32.3, 0.0, 9.2, 44.6, 0.0, 6.2, 0.0, 3.1, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 62.5, 0.0, 6.2, 7.8, 10.8, 7.7, 4.6, 12.3, 3.1, 3.1]",48.7,31732.26953,30,86.84997559,7114.75,0.325629349,1
40,4.5,"[0.0, 0.0, 14.1, 0.0, 32.8, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.9, 0.0, 70.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.2, 0.0, 4.7, 0.0, 1.6, 4.7, 1.6, 0.0, 0.0, 1.5]",48.7,31734.26563,38,86.84997559,7114.75,0.325305751,1
41,5.8,"[1.6, 0.0, 9.2, 0.0, 40.6, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 15.6, 0.0, 1.6, 3.1, 16.9, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 6.2, 3.1, 4.7, 0.0, 75.0, 0.0, 14.1, 0.0, 6.2, 15.6, 0.0, 1.6, 0.0, 0.0]",48.7,31737.94141,31,86.84997559,7114.75,0.325088587,1
42,5.5,"[16.9, 1.5, 18.8, 13.8, 54.7, 0.0, 21.5, 26.2, 7.7, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 24.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 4.7, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 0.0, 0.0, 21.5, 4.6, 0.0, 0.0, 0.0, 1.5]",48.7,31742.83594,41,86.84997559,7114.75,0.325320688,1
43,6.3,"[1.5, 0.0, 9.2, 0.0, 21.5, 3.1, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.9, 1.5, 7.7, 0.0, 43.1, 7.7, 0.0, 3.1, 3.1, 4.6, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 4.6, 3.1, 3.1, 0.0, 68.8, 0.0, 0.0, 0.0, 1.5, 23.1, 1.6, 0.0, 0.0, 0.0]",48.7,31745.67578,30,86.84997559,7114.75,0.326821685,1
